,0
0,2965
1,3107
2,3333
3,2988
4,3331
5,3344
6,3460
7,3158
8,3688
9,3726
10,2861
11,3014
12,3106
13,3183
14,3187
15,3208
16,3247
17,3291
18,3352
19,3378
20,3391
21,3394
22,3399
23,3409
24,3497
25,3555
26,3568
27,3578
28,3582
29,3584
30,3590
31,3603
32,3608
33,3615
34,3617
35,3618
36,3624
37,3626
38,3629
39,3630
40,3633
41,3637
42,3640
43,3641
44,3647
45,3649
46,3651
47,3655
48,3657
49,3668
50,3721
51,3722
52,3745
53,3746
54,3760
55,3763
56,3764
57,3770
58,3776
59,3781
60,3782
61,3786
62,3789
63,3790
64,3791
65,3794
66,3803
67,2952
68,2960
69,2997
70,3002
71,3035
72,3064
73,3073
74,3093
75,3188
76,3206
77,3257
78,3278
79,3300
80,3313
81,3330
82,3340
83,3349
84,3365
85,3366
86,3367
87,3368
88,3370
89,3392
90,3398
91,3411
92,3413
93,3419
94,3421
95,3423
96,3424
97,3425
98,3428
99,3430
100,3431
101,3433
102,3434
103,3435
104,3438
105,3439
106,3440
107,3441
108,3442
109,3446
110,3447
111,3448
112,3450
113,3451
114,3453
115,3457
116,3459
117,3461
118,3462
119,3463
120,3465
121,3467
122,3473
123,3476
124,3490
125,3492
126,3495
127,3501
128,3506
129,3533
130,3583
131,3631
132,3720
133,3823
134,1
135,2
136,2755
137,2963
138,2986
139,2998
140,3
141,3001
142,3022
143,3031
144,3034
145,3069
146,3082
147,3120
148,3130
149,3155
150,3159
151,3194
152,3196
153,3203
154,3229
155,3239
156,3241
157,3246
158,3252
159,3253
160,3254
161,3258
162,3265
163,3270
164,3272
165,3274
166,3285
167,3286
168,3293
169,3295
170,3296
171,3299
172,3302
173,3305
174,3311
175,3314
176,3324
177,3327
178,3336
179,3343
180,3348
181,3351
182,3355
183,3358
184,3360
185,3372
186,3377
187,3382
188,3384
189,3397
190,3400
191,3402
192,3412
193,3414
194,3415
195,3416
196,3417
197,3422
198,3426
199,3427
200,3429
201,3432
202,3436
203,3437
204,3443
205,3444
206,3445
207,3449
208,3454
209,3455
210,3456
211,3468
212,3469
213,3470
214,3471
215,3472
216,3474
217,3475
218,3479
219,3480
220,3481
221,3482
222,3483
223,3485
224,3486
225,3487
226,3488
227,3489
228,3491
229,3493
230,3494
231,3496
232,3498
233,3499
234,3500
235,3510
236,3511
237,3512
238,3513
239,3514
240,3515
241,3517
242,3519
243,3520
244,3522
245,3523
246,3526
247,3527
248,3530
249,3532
250,3534
251,3535
252,3536
253,3540
254,3543
255,3548
256,3550
257,3551
258,3556
259,3557
260,3558
261,3559
262,3562
263,3563
264,3571
265,3572
266,3573
267,3586
268,3587
269,3588
270,3593
271,3595
272,3596
273,3597
274,3598
275,3599
276,3601
277,3605
278,3607
279,3609
280,3612
281,3613
282,3621
283,3622
284,3628
285,3632
286,3634
287,3636
288,3638
289,3639
290,3642
291,3645
292,3646
293,3648
294,3652
295,3653
296,3654
297,3656
298,3659
299,3661
300,3662
301,3663
302,3664
303,3665
304,3666
305,3670
306,3671
307,3677
308,3682
309,3690
310,3692
311,3695
312,3698
313,3701
314,3711
315,3717
316,3723
317,3724
318,3725
319,3728
320,3731
321,3733
322,3734
323,3736
324,3737
325,3738
326,3740
327,3741
328,3742
329,3743
330,3748
331,3749
332,3751
333,3752
334,3753
335,3755
336,3756
337,3757
338,3758
339,3774
340,3778
341,3787
342,3796
343,3797
344,3798
345,3799
346,3800
347,3801
348,3802
349,3805
350,3808
351,3810
352,3816
353,3817
354,3818
355,3819
356,3822
357,3824
358,3825
359,3827
360,3828
361,3829
362,3830
363,3833
364,3836
365,3837
366,3838
367,3839
368,3840
369,3841
370,4
371,5
372,3129
373,3164
374,3197
375,3201
376,3228
377,3232
378,3238
379,3248
380,3255
381,3262
382,3264
383,3294
384,3310
385,3315
386,3319
387,3323
388,3347
389,3356
390,3418
391,3466
392,3477
393,3478
394,3484
395,3502
396,3503
397,3504
398,3505
399,3507
400,3509
401,3516
402,3518
403,3521
404,3524
405,3537
406,3538
407,3539
408,3541
409,3544
410,3545
411,3546
412,3547
413,3549
414,3552
415,3560
416,3561
417,3564
418,3566
419,3567
420,3569
421,3570
422,3576
423,3577
424,3579
425,3580
426,3581
427,3585
428,3592
429,3600
430,3602
431,3610
432,3614
433,3619
434,3620
435,3623
436,3625
437,3643
438,3674
439,3675
440,3676
441,3678
442,3691
443,3693
444,3703
445,3704
446,3705
447,3716
448,3730
449,3765
450,3769
451,3784
452,3785
453,3788
454,3793
455,3804
456,3806
457,3811
458,3813
459,3814
460,3826
461,3832
