Id	Retry	Status	ExitCode	Submit	Start	Finish	Wall time	Site	data.ScheddName	Job LOG	PostJob Log	_id	data.Status
3	4	failed	50660	Feb-10 01:12:23	Feb-10 06:20:32	'-	04:40:48	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
2029	2	finished	0	Feb-05 07:41:48	Feb-05 14:16:32	Feb-05 21:28:10	07:11:37	T2_US_Caltech	undefined	JobLog	PostJob	undefined	undefined
1956	1	finished	0	Feb-02 23:56:11	Feb-05 06:11:26	Feb-05 12:43:09	06:31:43	T2_US_Caltech	undefined	JobLog	PostJob	undefined	undefined
2011	2	finished	0	Feb-05 08:36:05	Feb-05 08:46:07	Feb-05 12:25:04	03:38:57	T2_US_Caltech	undefined	JobLog	PostJob	undefined	undefined
2008	1	finished	0	Feb-02 23:56:24	Feb-05 06:16:36	Feb-05 11:38:32	05:21:56	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
2024	1	finished	0	Feb-02 23:56:32	Feb-05 06:46:24	Feb-05 11:41:10	04:54:46	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
2005	1	finished	0	Feb-02 23:56:23	Feb-05 06:18:55	Feb-05 11:32:50	05:13:55	T2_US_Caltech	undefined	JobLog	PostJob	undefined	undefined
1996	1	finished	0	Feb-02 23:56:22	Feb-05 06:16:35	Feb-05 11:23:05	05:06:30	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
2025	1	finished	0	Feb-02 23:56:32	Feb-05 07:02:22	Feb-05 10:55:27	03:53:05	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
1815	2	finished	0	Feb-05 00:17:24	Feb-05 02:16:27	Feb-05 09:02:39	06:46:12	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
1947	1	finished	0	Feb-02 23:56:10	Feb-05 02:57:05	Feb-05 09:03:58	06:06:53	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
1928	1	finished	0	Feb-02 23:56:01	Feb-05 02:25:49	Feb-05 08:04:55	05:39:05	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
1934	1	finished	0	Feb-02 23:56:08	Feb-05 02:22:41	Feb-05 07:59:59	05:37:18	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
1933	1	finished	0	Feb-02 23:56:08	Feb-05 02:22:45	Feb-05 07:43:12	05:20:27	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
1902	2	finished	0	Feb-05 02:22:51	Feb-05 02:25:47	Feb-05 07:15:39	04:49:52	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
1905	1	finished	0	Feb-02 23:55:58	Feb-04 22:06:38	Feb-05 03:57:55	05:51:17	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
1887	1	finished	0	Feb-02 23:55:50	Feb-04 21:20:09	Feb-05 03:03:16	05:43:07	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
1694	1	finished	0	Feb-02 23:54:53	Feb-04 16:12:23	Feb-05 01:28:09	09:15:46	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
1848	1	finished	0	Feb-02 23:55:38	Feb-04 16:26:08	Feb-05 00:47:23	08:21:15	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
1842	1	finished	0	Feb-02 23:55:37	Feb-04 16:25:49	Feb-05 00:21:38	07:55:49	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
1764	1	finished	0	Feb-02 23:55:15	Feb-04 16:25:10	Feb-04 23:52:34	07:27:24	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
1866	1	finished	0	Feb-02 23:55:47	Feb-04 18:54:45	Feb-04 23:56:00	05:01:15	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
1756	1	finished	0	Feb-02 23:55:14	Feb-04 16:25:03	Feb-04 22:51:27	06:26:24	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
1810	1	finished	0	Feb-02 23:55:28	Feb-04 16:24:58	Feb-04 22:57:58	06:33:00	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
1855	1	finished	0	Feb-02 23:55:39	Feb-04 17:48:55	Feb-04 22:41:51	04:52:56	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
1780	1	finished	0	Feb-02 23:55:17	Feb-04 16:24:53	Feb-04 22:38:47	06:13:54	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
1802	1	finished	0	Feb-02 23:55:27	Feb-04 16:24:59	Feb-04 22:42:18	06:17:19	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
1720	1	finished	0	Feb-02 23:55:04	Feb-04 16:15:49	Feb-04 22:41:15	06:25:26	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
1840	1	finished	0	Feb-02 23:55:37	Feb-04 16:25:46	Feb-04 22:43:50	06:18:03	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
1759	1	finished	0	Feb-02 23:55:14	Feb-04 16:25:10	Feb-04 22:44:35	06:19:25	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
1662	1	finished	0	Feb-02 23:54:43	Feb-04 13:19:43	Feb-04 22:28:43	09:09:00	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
1836	1	finished	0	Feb-02 23:55:36	Feb-04 16:25:42	Feb-04 22:19:44	05:54:02	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
1819	1	finished	0	Feb-02 23:55:34	Feb-04 16:25:24	Feb-04 22:02:01	05:36:37	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
1749	1	finished	0	Feb-02 23:55:13	Feb-04 16:24:55	Feb-04 21:54:34	05:29:39	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
1747	1	finished	0	Feb-02 23:55:12	Feb-04 16:24:55	Feb-04 21:37:38	05:12:43	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
1807	1	finished	0	Feb-02 23:55:27	Feb-04 16:24:59	Feb-04 21:34:06	05:09:07	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
