Id	Retry	Status	ExitCode	Submit	Start	Finish	Wall time	Site	data.ScheddName	Job LOG	PostJob Log	_id	data.Status
129	3	toretry	60324	Jan-20 01:39:10	Jan-22 16:20:00	Jan-23 02:05:59	09:45:59	T2_US_Vanderbilt	undefined	JobLog	PostJob	undefined	undefined
1	4	failed	50660	Feb-10 01:13:54	Feb-10 05:53:13	'-	04:35:54	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
5	4	failed	50660	Feb-10 01:13:54	Feb-10 06:05:53	'-	04:55:59	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
739	6	finished	0	Feb-02 23:53:55	Feb-03 00:07:55	Feb-03 07:08:24	07:00:29	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
1202	1	finished	0	Jan-27 16:43:57	Feb-01 15:15:00	Feb-01 23:33:06	08:18:06	T2_US_Caltech	undefined	JobLog	PostJob	undefined	undefined
1083	1	finished	0	Jan-27 16:43:47	Feb-01 12:32:27	Feb-01 22:55:02	10:22:35	T2_US_Nebraska	undefined	JobLog	PostJob	undefined	undefined
527	2	finished	0	Jan-26 17:39:19	Feb-01 12:30:18	Feb-01 18:22:14	05:51:55	T2_US_UCSD	undefined	JobLog	PostJob	undefined	undefined
852	5	finished	0	Feb-01 05:45:25	Feb-01 09:40:04	Feb-01 17:05:09	07:25:05	T2_US_Caltech	undefined	JobLog	PostJob	undefined	undefined
744	5	finished	0	Feb-01 06:17:00	Feb-01 10:17:17	Feb-01 16:44:23	06:27:06	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
720	5	finished	0	Feb-01 05:23:29	Feb-01 09:39:58	Feb-01 16:27:15	06:47:17	T2_US_Caltech	undefined	JobLog	PostJob	undefined	undefined
381	4	finished	0	Feb-01 02:58:09	Feb-01 10:17:15	Feb-01 15:24:40	05:07:25	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
577	4	finished	0	Jan-26 19:28:45	Jan-31 14:13:12	Jan-31 20:40:18	06:27:06	T2_US_MIT	undefined	JobLog	PostJob	undefined	undefined
519	4	finished	0	Jan-26 19:19:46	Jan-31 12:51:45	Jan-31 17:57:19	05:05:34	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
897	4	finished	0	Jan-26 19:05:39	Jan-31 11:52:56	Jan-31 15:49:23	03:56:27	T2_US_Purdue	undefined	JobLog	PostJob	undefined	undefined
728	4	finished	0	Jan-26 19:07:45	Jan-31 08:35:45	Jan-31 15:03:39	06:27:54	T2_US_Wisconsin	undefined	JobLog	PostJob	undefined	undefined
